"sku","name","category","subcategory","price","currency","stock_quantity","materials","colors","dimensions_length","dimensions_width","dimensions_height","dimensions_unit","packaging_dimensions","min_doorway_clearance","assembly_required","weight_capacity","customization_options","bulk_discount_threshold","description","care_instructions","warranty_info","return_policy","shipping_info","permalink","image_urls"
"01-5911","Folding 2 Doors Fittings Acc for Cabinet OPK |","Hardware","Cabinet Leg",3150.0,"BDT",5,"","","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Folding 2 Doors Fittings Acc for Cabinet OPK | 01-5911 The Folding 2-Door Cabinet Hardware Accessory Kit (01-5911) is a high-performance architectural mechanism engineered specifically to facilitate smooth, space-saving bi-fold door configurations for premium overhead kitchen cabinets, office storage units, pantries, and modern vanity systems. Designed to eliminate the space limitations of traditional swing doors, this specialized kit coordinates a flawless 2-door folding sequence that lifts or folds panels away effortlessly, ensuring unobstructed access to cabinet interiors without sagging or misalignment. Manufactured from high-tensile structural alloys and hardened steel linkages, this hardware package delivers a robust weight capacity that confidently supports furniture panel configurations up to 30 kg . This comprehensive structural fitting package features a central horizontal stabilizing control bar ( 1 Bar ), four heavy-duty concealed folding hinges ( 4 Hinges ), a specialized tracking slider assembly ( 1 TJ005B ), durable panel mounting brackets, and a complete set of precision installation screws. Operating with fluid, whisper-quiet mechanical synchronization, it keeps the moving panels perfectly balanced along a tight linear path. It represents an exceptional architectural solution for maximizing clearance and adding luxury, handleless functionality to sleek, contemporary cabinetry layouts. Key Features: Optimized 30kg Weight Capacity: Engineered with high-density structural linkages to provide total stability and smooth operation for standard to medium-sized bi-fold cabinet panels. Flawless 2-Door Folding Sync: Systematically links two adjacent cabinet door segments, driving them through a smooth, fluid folding path that gathers the panels tightly together. Precision Stabilizing Control Bar: Outfitted with a heavy-duty central guidance bar to eliminate horizontal wobble, door chatter, and panel drop during rapid transit. Heavy-Duty Concealed Hinge Matrix: Supplied with four high-gauge mechanical hinges designed to anchor boards securely, maintaining absolute panel alignment and flush closures over long-term usage. Complete Professional Fitting Set: Includes all necessary structural components—the guiding bar, specialized slider unit, mounting plates, and matching fasteners—for a secure, factory-finished installation.","","","","","https://leadingedge.com.bd/product/folding-2-doors-fittings-acc-for-cabinet-1bar-4hings-1tj005b-opk-30kg-01-5911/","https://leadingedge.com.bd/wp-content/uploads/2024/09/01-5911.jpg, 01-5911"
"01-5912","Track Up Single/silver/3meter","Kitchenware","Dish Rack",2625.0,"BDT",5,"Aluminium, Glass","Silver","","","","inches","","","No - Fully assembled.","","","","Hanging Slide for Glass.D Damper | 01-5912 The Hanging Sliding Hardware Kit with Integrated Damper for Glass Doors (01-5912) is a premium, high-performance architectural mechanism engineered specifically to facilitate smooth, ultra-stable sliding operations for frameless or slim-profile glass cabinet shutters, vanity cases, premium vitrines, and lightweight display enclosures. Designed to eliminate the visual bulk of traditional thick framing systems, this specialized kit suspends and guides glass panels effortlessly from above, ensuring an unhindered line of sight into interior display cavities while eliminating panel wobble or track jumping. Manufactured from high-tensile structural alloys, reinforced clamp plates, and low-friction polymer components, the kit provides an optimized weight capacity that comfortably supports glass panels weighing up to 15 kg . This sophisticated structural fitting package comes fully integrated with a high-precision mechanical Damper (Soft-Close) plunger system. This advanced mechanism cushions the closing momentum of the glass panel during the final inches of its travel, gently and silently drawing it into its fully closed position to completely eliminate glass-shattering impacts, finger pinching, and structural vibrations. The comprehensive hardware package includes specialized glass-clamping brackets that grip panels securely without slippage, an overhead carriage runner with low-vibration green nylon wheels, horizontal guiding bars, positioning triggers, and a set of precision mechanical fasteners. It represents the ultimate architectural choice for bringing minimalist, handleless luxury and absolute operational safety to contemporary residential or commercial glass cabinetry designs. Key Features: Premium Soft-Close Damper Integration: Outfitted with an intelligent mechanical dampening system that catches moving glass panels smoothly, pulling them into position silently to prevent shattering and impact damage. Optimized 15kg Capacity for Glass: Specifically engineered and balanced to manage lightweight to medium frameless or slimline glass panels with absolute precision and structural integrity. Whisper-Quiet Nylon Rollers: Features advanced, precision-bearing green nylon carriage wheels that minimize rolling resistance, delivering exceptionally fluid, track-guided panel movement. Secure Clamp Mount Engineering: Supplied with heavy-duty top clamp plates designed to establish an immovable, safe mechanical grip over the glass panel edge without loose tolerances. Complete Professional Hardware Set: Includes all vital components—hanging rollers, dampening assemblies, glass clamps, tracking triggers, and specialized installation fasteners—for a secure, factory-finished installation.","","","","","https://leadingedge.com.bd/product/track-up-single-silver-3meter-01-5912/","https://leadingedge.com.bd/wp-content/uploads/2024/09/01-5912-1.jpg, 01-5912"
"01-5913","Submarine Roller 4 / Shutter / S. Close |","Hardware","Hardware Hardware",3150.0,"BDT",5,"Metal, Wood","Green, Silver","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Submarine Roller 4 / Shutter / S. Close | 01-5913 The Submarine Roller Shutter System with Soft-Close (01-5913) is an engineering-grade, premium architectural mechanism designed specifically to operate smoothly, providing high-stability sliding operations for a full set of four cabinet shutters or overlapping wardrobe doors. Engineered to deliver absolute control over multi-panel layouts, this high-performance roller system allows heavy doors to slide effortlessly along their tracks, completely eliminating panel rattle, vertical sag, and uneven tracking gaps. Manufactured from high-tensile structural alloys and fortified housing plates, the hardware package is built to balance and distribute physical loads comfortably, providing an optimized weight capacity that handles panel setups up to 30 kg . This sophisticated structural fitting system is fully integrated with a premium mechanical Soft-Close dampening runner network. The damper components smoothly capture the momentum of the moving wooden or composite panels during the final inches of travel, gently and silently drawing them into their fully nested positions to prevent loud slamming, finger trapping, and structural cabinetry vibration. The comprehensive package features four low-profile submarine-style roller assemblies outfitted with low-friction, precision-bearing green nylon wheels, dual continuous linear dampening tracks, specialized structural face-plates, and matching mechanical fasteners. It represents the ultimate architectural choice for executing fluid, whisper-quiet, and exceptionally stable sliding transitions across expansive modern multi-shutter storage configurations. Key Features: Premium Soft-Close Dampening: Integrated with a heavy-duty mechanical dampening system that decelerates closing panels smoothly, pulling them into place silently to eliminate structural impact. Optimized 30kg Weight Capacity: Built with rigid metal casings and fortified steel link mounts to confidently support and balance medium-weight wood or composite furniture panels. Complete 4-Shutter Synchronization: Systematically coordinates tracking configurations across four individual door panels, ensuring a perfectly flush layout when fully closed. Low-Friction Submarine Rollers: Engineered with specialized, low-profile green nylon carriage wheels that minimize rolling resistance, providing an exceptionally smooth, track-guided panel glide. Heavy-Duty Metal Build: Precision-machined from high-density alloys to ensure absolute defense against structural warping, track jumping, and wear over decades of daily operations.","","","","","https://leadingedge.com.bd/product/submarine-roller-4-shutter-s-close-opk-30-kg-01-5913/","https://leadingedge.com.bd/wp-content/uploads/2021/10/Submarine-Roller-4shutters.Closeopk30kg01-591301.jpg, 01-5913, https://leadingedge.com.bd/wp-content/uploads/2021/10/01-5913-a.jpg"
"01-5913/2","Track Up and Bottom / silver | 01-5913","Kitchenware","Dish Rack",735.0,"BDT",5,"Aluminium","Silver","","","","inches","","","No - Fully assembled.","","","","Track Up and Bottom / silver | 01-5913 The Sliding Cabinet Track System (01-5913) is a commercial-grade, premium architectural extrusion profile engineered to provide exceptionally smooth and ultra-stable linear sliding operations for custom modern cabinetry, wardrobes, and multi-shutter storage systems. Specifically designed as the foundational structural track for the 01-5913 submarine roller series, this high-performance configuration functions flawlessly as both a top guide track and a bottom runner track. It ensures that moving furniture panels glide along a perfectly straight line of sight without wobbling, binding, or tracking variations. Precision-extruded from architectural-grade Aluminium , this structural track profile offers excellent density and stiffness to span wide cabinetry runs without bending or deformation over time. The specialized inner geometry securely captures sliding roller assemblies to eliminate door rattle and prevent track jumping. Featuring a premium, non-reflective Silver finish that handles friction smoothly while resisting oxidation, this continuous 3-Meter track provides an elegant, durable, and clean runner network that integrates seamlessly into high-end minimalist interiors. Key Features: Dual-Purpose Track Layout: Precision-engineered to serve interchangeably as both the top guidance track and the bottom runner track, creating a perfectly synchronized tracking loop. Premium Aluminium Build: Extruded from architectural-grade aluminium to deliver absolute rust-proof performance, outstanding impact defense, and long-term durability. Flawless Linear Guidance: Outfitted with an optimized geometric internal channel that locks roller wheels into alignment, eliminating panel chatter, friction binding, and track jump. Sleek Low-Profile Integration: Designed to be easily surface-mounted or neatly recessed into cabinetry headers and plinths for a handleless architectural transition. Continuous 3-Meter Run: Supplied in continuous 3M tracks to accommodate large structural spans and wide multi-shutter runs seamlessly without requiring intermediate joints.","","","","","https://leadingedge.com.bd/product/track-up-and-bottom-silver-3-meter-01-5913/","https://leadingedge.com.bd/wp-content/uploads/2023/04/01-5913-b.jpg, 01-5913"
"01-5914","Roller5 Damper 2 Sliding S.Close opk |","Hardware","Hardware Hardware",8925.0,"BDT",5,"Metal, Wood","Green, Silver","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Roller5 Damper 2 Sliding S.Close opk | 01-5914 The Synchronized Sliding Roller Hardware Kit with Dual-Direction Soft-Close (01-5914) is an advanced engineering-grade architectural mechanism designed specifically to operate smooth, high-stability sliding operations for a two-door ( 2 Sliding ) configuration in premium modern wardrobes and continuous cabinet layouts. Engineered to deliver absolute tracking control, this high-performance roller kit allows heavy furniture panels to glide effortlessly along their tracks, completely eliminating panel chatter, vertical sag, and uneven tracking gaps. Manufactured from heavy-duty structural steel housing, fortified zinc-alloy plates, and low-friction polymer rollers, the hardware package provides an optimized weight capacity that comfortably handles panel setups up to 30 kg . This sophisticated structural fitting system comes fully integrated with a premium mechanical Soft-Close (Damper) plunger network featuring four independent dampener units. These dampers smoothly capture the momentum of the moving wood or composite panels during both the opening and closing transitions, gently and silently pulling them into their fully nested positions to prevent loud slamming, finger trapping, and structural cabinetry vibration. The comprehensive package features four heavy-duty roller carriage wheels, specialized structural face mounting plates, top guide assemblies with low-friction green nylon wheels, structural adjustment tools (allen key and open-end wrench), and a full set of precision mechanical fasteners. It represents the ultimate architectural choice for executing fluid, whisper-quiet, and exceptionally stable sliding transitions across premium contemporary furniture installations. Key Features: Premium Soft-Close Dampening: Integrated with a multi-damper network that decelerates moving panels smoothly, pulling them into place silently to eliminate structural impact during opening and closing cycles. Optimized 30kg Weight Capacity: Built with rigid metal casings and fortified steel link mounts to confidently support and balance medium-weight wood or composite furniture panels. Complete 2-Door Synchronization: Systematically coordinates tracking configurations across two overlapping door panels, ensuring a perfectly flush layout and fluid mechanical movement. Low-Friction Nylon Rollers: Features advanced, precision-bearing green nylon carriage wheels that minimize rolling resistance, providing an exceptionally smooth, track-guided panel glide. Heavy-Duty Structural Build: Precision-machined from high-density alloys to ensure absolute defense against structural warping, track jumping, and wear over decades of daily operations.","","","","","https://leadingedge.com.bd/product/roller-5-damper-2-sliding-s-close-opk-30kg-01-5914/","https://leadingedge.com.bd/wp-content/uploads/2023/04/01-5914.jpg, 01-5914"
"01-5920","Cabinet Glass Door Acc (No Frame) OPK |","Table","Table Frame",1320.0,"BDT",5,"Glass, Metal","Green, Silver, White","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","","","","Cabinet Glass Door Acc (No Frame) OPK | 01-5920 The Frameless Glass Cabinet Sliding Door Hardware Kit (01-5920) is a premium architectural mechanism engineered specifically to facilitate smooth, ultra-stable sliding operations for frameless or no-frame glass cabinet shutters, vanity cases, premium retail showcases, and lightweight display enclosures. Designed to eliminate the visual bulk of traditional framing profiles, this specialized kit allows glass panels to slide effortlessly along their tracks, ensuring an unhindered line of sight into interior display cavities while preventing panel rattle or track jumping. Manufactured from high-tensile structural steel housings and low-friction polymer components, the hardware package provides an optimized weight capacity that comfortably handles glass configurations up to 15 kg . This comprehensive structural fitting system is optimized for quick, reliable panel integration and long-term durability. The package features four heavy-duty sliding roller assemblies outfitted with a built-in spring tension bracket and low-vibration, precision-bearing green nylon wheels to reduce rolling friction. Additionally, the kit is supplied with four specialized frame-free mounting brackets/plates, four stability clips, curved spring steel tension wires, and matching white screw cap covers. Operating with fluid, whisper-quiet mechanical synchronization, it keeps the moving glass segments perfectly balanced along a tight linear path. It represents an exceptional architectural solution for adding minimalist, handleless luxury and absolute operational stability to contemporary residential or commercial glass cabinetry layouts. Key Features: Optimized 15kg Capacity for Glass: Specifically engineered and balanced to manage frameless or slimline glass panels with absolute precision and structural integrity. Whisper-Quiet Nylon Rollers: Features advanced, precision-bearing green nylon carriage wheels that minimize rolling resistance, delivering exceptionally fluid, track-guided panel movement. Integrated Spring Tensioning: Built with heavy-duty structural metal casings featuring an adjustable spring-loaded lever mechanism to ensure constant track contact and eliminate panel shake. Clean Frameless Design: Formulated to mount securely to glass shutters without the need for thick structural frames, maintaining a continuous, ultra-modern transparent aesthetic. Complete Professional Fitting Set: Includes all essential structural components—four roller units, matching structural anchoring brackets, tracking wire guides, and finishing screw caps—for a secure, factory-finished installation.","","","","","https://leadingedge.com.bd/product/cabinet-glass-door-acc-no-frame-opk-15kgs-01-5920/","https://leadingedge.com.bd/wp-content/uploads/2024/09/5920.jpg, 01-5920"
"01-6001","Soap Can, SS / Mirror Kinlong","Others","",65450.0,"BDT",5,"Metal, Stainless Steel","Grey",35.4,78.7,"","inches","37 x 81 x 2 inches","","No - Fully assembled.","","","","Soap Can, SS / Mirror Kinlong 01-6001","","","","","https://leadingedge.com.bd/product/soap-can-ss-mirror-kinlong-01-6001/","https://leadingedge.com.bd/wp-content/uploads/2021/10/Soap-Can.jpg"
"01-6002","Vertical Wall Bed with Sofa Metal Frame and Mechanism 1500*1900/White","Sofa","Sofa",83050.0,"BDT",5,"Metal","White",59.1,74.8,"","inches","61 x 77 x 2 inches","","Yes - Legs are unscrewed for safe delivery; simple screw-on assembly is done by our delivery team.","350 kg","","","ITtyepme: Size: Color: Material:","","","","","https://leadingedge.com.bd/product/vertical-wall-bed-with-sofa-metal-frame-and-mechanism-1500-1900-white/",""
"01-6002SS","Paper Towel Can SS/satin Kinlong 01-6002","Others","",0.0,"BDT",5,"Stainless Steel","","","","","inches","","","No - Fully assembled.","","","","Paper Towel Can Ss/satin Kinlong 01-6002","","","","","https://leadingedge.com.bd/product/paper-towel-can-ss-satin-kinlong-01-6002/","https://leadingedge.com.bd/wp-content/uploads/2023/05/paper.jpg"
"01-6003","Vertical Bookshelf Bed with Desk Metal Frame","Table","Office Desk",75350.0,"BDT",5,"Metal, Wood","Black, Clear, Material: Type",35.4,74.8,"","inches","37 x 77 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","The Ultimate Work-and-Sleep Workspace Solution The Vertical Bookshelf Bed with Desk Metal Frame and Mechanism is the pinnacle of smart-furniture hardware engineering. Specifically designed for students, home offices, and highly compact urban spaces, this premium system bridges the gap between a high-efficiency study station and a premium sleeping configuration without expanding your room's physical footprint. Zero-Displacement Parallel Desk Mechanism The defining engineering highlight of this mechanism is its intelligent parallel-motion linkage . As the bed frame is lowered into the sleeping position, the study desk platform smoothly glides downward beneath the bed while remaining completely horizontal. This means laptops, monitors, books, and desk organizers can stay securely on the desk surface—fully eliminating the need to clear your workspace before going to sleep. Premium Slat Support &amp; Balanced Lift Engineering The primary bed frame features an array of premium flexible wooden slats anchored securely into a reinforced structural steel frame. These slats respond dynamically to body weight to provide excellent ergonomic support and continuous mattress ventilation. Powered by heavy-duty manual hydraulic gas spring pistons , the system counterbalances the weight of the frame, allowing you to lift or lower the bed safely, quietly, and with minimal physical effort. Complete Layout Customization Because this package includes the metal frame, integrated wooden slats, parallel linkage system, and essential installation hardware only , it offers total flexibility for bespoke woodworking. Architects, carpenters, and interior designers can craft custom outer cabinetry featuring personalized bookshelves, display cubbies, or unique wood finishes to perfectly suit any interior style.","","","","","https://leadingedge.com.bd/product/vertical-bookshelf-bed-with-desk-metal-frame-and-mechanism-9001900-black-01-6003/","https://leadingedge.com.bd/wp-content/uploads/2024/08/01-6003-a.jpg, https://leadingedge.com.bd/wp-content/uploads/2024/08/01-6003-b.jpg, https://leadingedge.com.bd/wp-content/uploads/2024/08/01-6003-c.jpg"
"01-6004","Vertical Split Sofa with Bookshelf Bed Metal Frame and Mechanism 900*1900/Black","Sofa","Sofa",83050.0,"BDT",5,"Metal","Black",35.4,74.8,"","inches","37 x 77 x 2 inches","","Yes - Legs are unscrewed for safe delivery; simple screw-on assembly is done by our delivery team.","350 kg","","","Size: Color: ITtyepme:","","","","","https://leadingedge.com.bd/product/vertical-split-sofa-with-bookshelf-bed-metal-frame-and-mechanism-900-1900-black/",""
"01-6005","Side Hand-Operated Bed Metal Frame and Mechanism 900*2000/White","Table","Table Frame",65450.0,"BDT",5,"Metal","Material: Type, White",35.4,78.7,"","inches","37 x 81 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","","","","Item Name: Color: Material:","","","","","https://leadingedge.com.bd/product/side-hand-operated-bed-metal-frame-and-mechanism-900-2000-white/",""
"01-6006","Side Belt Desk Child Bed Metal Frame and Mechanism 1200*1900/White","Table","Office Desk",83050.0,"BDT",5,"Metal","White",47.2,74.8,"","inches","49 x 77 x 2 inches","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Size: Color: ITtyepme:","","","","","https://leadingedge.com.bd/product/side-belt-desk-child-bed-metal-frame-and-mechanism-1200-1900-white/",""
"01-6011","Key Tag 9330, 24pcs","Others","",580.0,"BDT",5,"","","","","","inches","","","No - Fully assembled.","","","","Key Tag 9330, 24pcs 01-6011","","","","","https://leadingedge.com.bd/product/key-tag-9330-24pcs-01-6011/","https://leadingedge.com.bd/wp-content/uploads/2021/06/Capture123.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Capture-2.jpg"
"01-6021","Desk Accessories-Folding Table","Table","Folding Table",12100.0,"BDT",5,"Metal","Material: Type","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Innovative Space-Saving Workspace Hardware The Desk Accessories (Folding) mechanism is a premium multi-pivot hardware kit engineered to create high-efficiency, hidden workspace configurations. Perfectly optimized for small studio apartments, micro-offices, and multi-functional bedrooms, this clever linkage system allows an entire study desk to fold down completely flat and slide away seamlessly into a narrow vertical storage cabinet when not in use. Smooth Multi-Pivot Mechanical Linkage At the heart of this system is a highly durable, multi-jointed structural steel mechanism. When pulling out the desk workspace, the linkage system uses a precise geometric transition to unfold the primary desk leaf and securely lock it to a mobile lower storage unit. This unique configuration shifts the physical strain away from the hinges onto the floor structure, delivering a steady, wobble-free surface perfect for laptops, writing, or studying. Seamless Integration with Mobile Storage This hardware is engineered to connect a permanent wall-mounted bookshelf structure with a mobile caster-wheeled under-desk cabinet. As you lift or push the desk surface back into the cabinet cavity, the mechanical arms automatically guide and fold the desk panel vertically, allowing the wheeled storage module to sit tucked neatly underneath, presenting a flush and organized cabinet face. Total Freedom for Custom Woodworking Because this product contains the precision folding metal mechanism and mounting hardware only , it offers exceptional design flexibility for custom furniture makers, carpenters, and interior designers. You can build bespoke outer cabinetry, specify personalized timber finishes, and adjust shelf layouts to meet your client's storage needs while integrating a hidden, high-performance desk module.","","","","","https://leadingedge.com.bd/product/desk-accessoriesfolding/","https://leadingedge.com.bd/wp-content/uploads/2021/03/Desk-Accesoriess-01.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/03/Desk-Accesoriess-02.jpg"
"01-6022","Folding Dining Table Frame, Black","Table","Dining Table",22000.0,"BDT",5,"","Black, Material: Type","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Exclusive Modern New Folding Dining Table One of the simplest changes you can make to improve your daily life is to invest in functional furniture which makes your life a bit easier. Creative Functional Furniture that not only saves space but also attracts people with a minimal look.","","","","","https://leadingedge.com.bd/product/folding-dining-table-frame-black/","https://leadingedge.com.bd/wp-content/uploads/2021/03/Folding-Dining-Table-Frame-02.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/03/Folding-Dining-Table-Frame-07.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/03/Folding-Dining-Table-Frame-03.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/03/Folding-Dining-Table-Frame-04.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/03/Folding-Dining-Table-Frame-06.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/03/Folding-Dining-Table-Frame-08.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/03/Folding-Dining-Table-Frame-01.jpg"
"01-6023","Folding Bed Accessoriess 900mm Black","Furniture","Furniture Accessories",10000.0,"BDT",5,"","Black","","","","inches","","","No - Fully assembled.","","","","Size: Color: Material: Type:","","","","","https://leadingedge.com.bd/product/folding-bed-accessoriess-900mm-black/",""
"01-6031","Folding Shoe Rack Accessories","Kitchenware","Dish Rack",10450.0,"BDT",5,"Metal","Black, Material: Type","","","","inches","","","No - Fully assembled.","","","","Innovative Entryway Space Optimization The Shoe Rack Accessories (Folding) mechanism is a high-performance hardware kit engineered to create hidden, high-capacity footwear storage within narrow spaces. Perfect for compact apartments, tight hallways, and modern walk-in closets, this clever mechanical linkage allows an entire storage compartment to pull out smoothly and fold downward, optimizing every inch of cabinet depth. Precision Telescopic &amp; Pivot Engineering Built with industrial-grade structural steel rails finished in a sleek matte black powder coating, this mechanism ensures exceptionally fluid movement. The combination of heavy-duty telescopic runners and a precise pivot mechanism allows a concealed base panel or cabinet facade to glide out effortlessly and pivot open. This robust design smoothly transfers the weight of the storage unit to the core tracking system, preventing sagging or misalignment even under a full load of footwear. Discreet Concealed Storage Integration This specialized hardware is designed to integrate seamlessly into vertical bookshelf or wardrobe layouts. When closed, the entire mechanism sits flush inside the lower cabinet cavity, transforming into a clean, minimalist facade. When pulled out, it instantly reveals an accessible lower storage vault, allowing you to maximize floor space and keep busy entryways completely organized and clutter-free. Total Carpentry &amp; Design Flexibility Because this package contains the precision folding metal mechanism and mounting rails only , it serves as an excellent blank canvas for custom furniture manufacturers, carpenters, and interior architects. It provides total creative freedom to build custom wooden outer cabinetry, select matching face panels, and customize internal shelving configurations to fit specific residential or commercial projects perfectly.","","","","","https://leadingedge.com.bd/product/shoe-rack-accessories-folding-01-6031/","https://leadingedge.com.bd/wp-content/uploads/2021/06/shoe-vef.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/shoe-vf.jpg"
"01-6040","Meeting Table 2400*1200mm","Table","Table",88000.0,"BDT",5,"","Material","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Item Name: Color:","","","","","https://leadingedge.com.bd/product/meeting-table-2400-1200mm/",""
"01-6041","Meeting Table 2300*1200mm Round","Table","Table",77000.0,"BDT",5,"","","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Size: Color: Material: Type:","","","","","https://leadingedge.com.bd/product/meeting-table-2300-1200mm-round/",""
"01-6053","Desk Pad Tablet H400*W680mm Black","Table","Office Desk",1500.0,"BDT",5,"","Black, Material: Type",26.8,"",15.7,"inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","Color: Material: ITtaebmleNTaomp eM:","","","","","https://leadingedge.com.bd/product/desk-pad-tablet-h400-w680mm-black/",""
"01-6054","Anti Skid Pad W500mm","Kitchenware","Kitchen Accessories",210.0,"BDT",5,"","","","","","inches","","","No - Fully assembled.","","","","","","","","","https://leadingedge.com.bd/product/anti-skid-pad-w500mm/",""
"01-6055","Alum Foil Waterproof W1200mm","Kitchenware","Kitchen Accessories",150.0,"BDT",5,"","","","","","inches","","","No - Fully assembled.","","","","","","","","","https://leadingedge.com.bd/product/alum-foil-waterproof-w1200mm/",""
"01-6056","Anti Slip Pad, Small Particles, W 500 mm","Others","",175.0,"BDT",5,"","","","","","inches","","","No - Fully assembled.","","","","Anti Slip Pad Small Particles W500mm 01-6056","","","","","https://leadingedge.com.bd/product/anti-skid-pad-w500-mm-01-6054/","https://leadingedge.com.bd/wp-content/uploads/2021/06/WhatsApp-Image-2020-10-18-at-10.12.03-AM-1-scaled.jpg"
"01-6057","Privacy Screen 800*300 Grey Fabric","Furniture","Furniture Accessories",1900.0,"BDT",5,"Fabric","Grey",31.5,11.8,"","inches","34 x 14 x 2 inches","","No - Fully assembled.","","","","Item Name:","","","","","https://leadingedge.com.bd/product/privacy-screen-800-300-grey-fabric/",""
"01-6058","Privacy Screen 1200*300 Grey Fabric","Furniture","Furniture Accessories",2400.0,"BDT",5,"Fabric","Grey",47.2,11.8,"","inches","49 x 14 x 2 inches","","No - Fully assembled.","","","","Item Name:","","","","","https://leadingedge.com.bd/product/privacy-screen-1200-300-grey-fabric/",""
"01-6059","Privacy Screen 900*300 Green Fabric","Furniture","Furniture Accessories",1900.0,"BDT",5,"Fabric","Green",35.4,11.8,"","inches","37 x 14 x 2 inches","","No - Fully assembled.","","","","Item Name:","","","","","https://leadingedge.com.bd/product/privacy-screen-900-300-green-fabric/",""
"01-6101","LED Light Spot Ф50*45mm/5w/3000k/White","Lighting","Lighting Fixture",350.0,"BDT",5,"Aluminium","Black, White","","","","inches","","","No - Fully assembled.","","","","Sophisticated Accent Lighting Enhance your interior architecture with the Leading Edge 01-6101 LED Spot Light . Designed for modern spaces, this recessed fixture combines a minimalist aesthetic with high-performance lighting. Its compact form factor allows it to blend seamlessly into ceilings, while the specialized design ensures light is focused exactly where you need it. Key Features Modern Anti-Glare Design: The fixture features a classic white outer trim with a contrasting black inner baffle. This ""deep set"" design helps reduce direct glare, providing superior visual comfort and a high-end architectural look compared to flush lenses. Durable Aluminium Construction: Crafted from high-quality aluminium, the body acts as an efficient heat sink, ensuring the LED operates at optimal temperatures for a longer lifespan. Cozy Warm Ambience: Emitting a 3000K Warm White light, this spotlight creates a relaxing and inviting atmosphere. It is ideal for accentuating artwork, lighting up hallway corridors, or setting the mood in dining areas and bedrooms. Energy Efficient: Consuming only 5 Watts of power, it offers bright, focused illumination without the high energy costs of traditional halogen spots. Versatile Application: Its compact size (Ø50mm) makes it versatile for various installations, including residential living rooms, boutique hotel corridors, and atmospheric bar counters.","","","","","https://leadingedge.com.bd/product/led-light-spot-%d1%845045mm-5w-3000k-white-01-6101/","https://leadingedge.com.bd/wp-content/uploads/2024/02/WhatsApp-Image-2024-02-04-at-14.45.58_116e58b6.jpg"
"01-6102","LED Light Spot Ф95*60mm/18w/3000k/White","Lighting","Lighting Fixture",350.0,"BDT",5,"Aluminium","White","","","","inches","","","No - Fully assembled.","","","","Powerful Illumination with Visual Comfort Upgrade your lighting plan with the Leading Edge 01-6102 LED Spot Light . Designed for areas requiring higher brightness levels, this 18W fixture combines powerful output with a sophisticated ""deep-set"" architectural design. It seamlessly blends into white ceilings while providing ample illumination for residential and commercial interiors. Key Features High-Intensity Output: With 18 Watts of power, this spotlight provides significantly more brightness than standard 5W or 7W spots, making it ideal for general lighting in living rooms, kitchens, or spaces with higher ceilings. Deep Anti-Glare Reflector: The LED light source is recessed deep within the white conical housing. This design significantly reduces glare and eye strain, ensuring the light is felt but the source isn't blindingly visible from a distance. Premium Aluminium Build: Constructed from high-grade aluminium, the housing is durable and acts as an effective heat sink to maintain optimal performance and longevity. Warm &amp; Inviting: Emits a 3000K Warm White light, creating a cozy and welcoming atmosphere perfect for hospitality venues and homes. Clean Aesthetic: The all-white finish ensures the fixture disappears into standard white ceilings for a minimalist, uncluttered look.","","","","","https://leadingedge.com.bd/product/led-light-spot-%d1%849560mm-18w-3000k-white-01-6102/","https://leadingedge.com.bd/wp-content/uploads/2024/02/01-6102-a.jpg"
